string,lv1,lv2,dict_action,domain_tag
美國政治,concept,foreign_politics,merge_optional,foreign_affair
英國政治,concept,foreign_politics,merge_optional,foreign_affair
印度政治,concept,foreign_politics,merge_optional,foreign_affair
國際政治,concept,foreign_politics,merge_optional,foreign_affair
司法獨立,concept,institutional_principle,merge_optional,
行政權獨立,concept,institutional_principle,merge_optional,
行政獨立,concept,institutional_principle,merge_optional,
憲政主義,concept,institutional_principle,merge_optional,
代議政治,concept,institutional_principle,merge_optional,
君主立憲國體,concept,institutional_principle,merge_optional,
君主立憲主義,concept,institutional_principle,merge_optional,
立憲主義,concept,institutional_principle,merge_optional,
地方自治,concept,institutional_principle,merge_optional,local_governance
不得兼任,concept,institutional_principle,merge_optional,
不得連任,concept,institutional_principle,merge_optional,
地方政治,concept,institutional_principle,merge_optional,local_governance
公用事業,concept,policy,merge_optional,
印度獨立,concept,political_event,merge_optional,foreign_affair
緬甸獨立,concept,political_event,merge_optional,foreign_affair
美國獨立,concept,political_event,merge_optional,foreign_affair
總統選舉,concept,political_event,merge_optional,election
俄國革命,concept,political_event,merge_optional,foreign_affair
法國革命,concept,political_event,merge_optional,foreign_affair
菲島獨立,concept,political_event,merge_optional,foreign_affair
蒙古獨立,concept,political_event,merge_optional,foreign_affair
獨立戰爭,concept,political_event,merge_optional,foreign_affair
王克敏案,concept,political_event,merge_optional,
南北和議,concept,political_event,merge_optional,
人民政府,concept,political_order,merge_optional,
共和政府,concept,political_order,merge_optional,
立憲政府,concept,political_order,merge_optional,
史丹林主義憲法,concept,political_order,merge_optional,
成文憲法,concept,political_order,merge_optional,
獨立政府,concept,political_order,merge_optional,
蘇維埃憲法,concept,political_order,merge_optional,
世界共和國,concept,political_order,merge_optional,foreign_affair
人民共和國,concept,political_order,merge_optional,
君主共和,concept,political_order,merge_optional,
獨立共和國,concept,political_order,merge_optional,
聯邦共和國,concept,political_order,merge_optional,
蘇維埃共和國,concept,political_order,merge_optional,
共和主義,concept,political_order,merge_optional,
史丹林主義,concept,political_order,merge_optional,
民政主義,concept,political_order,merge_optional,
民權主義,concept,political_order,merge_optional,
民治主義,concept,political_order,merge_optional,
民生主義,concept,political_order,merge_optional,
法治主義,concept,political_order,merge_optional,
法西斯主義,concept,political_order,merge_optional,
社會主義共和國,concept,political_order,merge_optional,
蘇維埃社會主義,concept,political_order,merge_optional,
蘇維埃社會主義共和國,concept,political_order,merge_optional,
軍閥主義,concept,political_order,merge_optional,
寡頭政治,concept,political_order,merge_optional,
專制政治,concept,political_order,merge_optional,
平民政治,concept,political_order,merge_optional,
