string,lv1,lv2,dict_action,domain_tag
債票案,concept,political_event,merge,foreign_affair
德發債票案,concept,political_event,merge,foreign_affair
中國憲法,document,constitution,merge,
中國憲法大綱,document,constitution,merge,draft
中國新憲法,document,constitution,merge,
中央憲法,document,constitution,merge,
中華憲法,document,constitution,merge,
中華民國憲法,document,constitution,merge,
中華民國憲法案,document,constitution,merge,draft
中華民國憲法草案,document,constitution,merge,draft
中華民國新憲法,document,constitution,merge,
但澤憲法,document,constitution,merge,
剛性憲法,document,constitution,merge,
柔性憲法,document,constitution,merge,
北京憲法,document,constitution,merge,local_governance
南愛憲法,document,constitution,merge,
印度憲法,document,constitution,merge,foreign_affair
印度憲法案,document,constitution,merge,draft;foreign_affair
印度憲法草案,document,constitution,merge,draft;foreign_affair
印度新憲法,document,constitution,merge,foreign_affair
古巴憲法,document,constitution,merge,foreign_affair
史丹林憲法,document,constitution,merge,
史達林憲法,document,constitution,merge,
合衆國憲法,document,constitution,merge,foreign_affair
國際聯盟憲法,document,constitution,merge,foreign_affair
地方憲法,document,constitution,merge,local_governance
埃及憲法,document,constitution,merge,
墨國憲法,document,constitution,merge,
墨西哥憲法,document,constitution,merge,
天壇憲法,document,constitution,merge,
天壇憲法草案,document,constitution,merge,draft
天壇草案,document,constitution,merge,draft
奥國憲法,document,constitution,merge,
奥國新憲法,document,constitution,merge,
奧國憲法,document,constitution,merge,
德國憲法,document,constitution,merge,foreign_affair
德國新憲法,document,constitution,merge,foreign_affair
意國憲法,document,constitution,merge,
意大利憲法,document,constitution,merge,
愛爾蘭憲法,document,constitution,merge,foreign_affair
愛爾蘭自由邦憲法,document,constitution,merge,foreign_affair
憲政大綱,document,constitution,merge,draft
憲法,document,constitution,merge,
憲法修正草案,document,constitution,merge,draft
憲法内閣,document,constitution,merge,
憲法初稿草案,document,constitution,merge,draft
憲法協議會,document,constitution,merge,
憲法大綱,document,constitution,merge,draft
憲法大臣,document,constitution,merge,
憲法審議會,document,constitution,merge,
憲法案,document,constitution,merge,
憲法白色草案,document,constitution,merge,draft
憲法籌備處,document,constitution,merge,
憲法草案,document,constitution,merge,draft
憲法討論會,document,constitution,merge,
憲法起草委員,document,constitution,merge,
憲草修正案草案,document,constitution,merge,draft
捷克憲法,document,constitution,merge,foreign_affair
捷克斯拉夫憲法,document,constitution,merge,foreign_affair
斯拉夫憲法,document,constitution,merge,foreign_affair
斯達林憲法,document,constitution,merge,
新憲法草案,document,constitution,merge,draft
普國憲法,document,constitution,merge,foreign_affair
普魯士憲法,document,constitution,merge,foreign_affair
曹錕憲法,document,constitution,merge,
歐洲憲法,document,constitution,merge,foreign_affair
歐美憲法,document,constitution,merge,foreign_affair
比利時憲法,document,constitution,merge,foreign_affair
民六憲法,document,constitution,merge,
民國憲法,document,constitution,merge,
民國憲法案,document,constitution,merge,draft
民國憲法草案,document,constitution,merge,draft
法國憲法,document,constitution,merge,foreign_affair
法國新憲法,document,constitution,merge,foreign_affair
波恩憲法,document,constitution,merge,foreign_affair
波蘭憲法,document,constitution,merge,foreign_affair
波蘭新憲法,document,constitution,merge,foreign_affair
瑞士憲法,document,constitution,merge,foreign_affair
租界憲法,document,constitution,merge,
立院憲法,document,constitution,merge,
第二憲法,document,constitution,merge,
美利堅憲法,document,constitution,merge,foreign_affair
美國聯邦憲法,document,constitution,merge,foreign_affair
聯盟憲法,document,constitution,merge,foreign_affair
聯邦憲法,document,constitution,merge,foreign_affair
臨時憲法,document,constitution,merge,
芬蘭憲法,document,constitution,merge,foreign_affair
英國憲法,document,constitution,merge,foreign_affair
荷蘭憲法,document,constitution,merge,foreign_affair
菲列濱憲法,document,constitution,merge,foreign_affair
菲島憲法,document,constitution,merge,foreign_affair
菲律濱憲法,document,constitution,merge,foreign_affair
菲律賓憲法,document,constitution,merge,foreign_affair
蘇俄憲法,document,constitution,merge,foreign_affair
蘇俄新憲法,document,constitution,merge,foreign_affair
蘇聯憲法,document,constitution,merge,foreign_affair
蘇聯憲法草案,document,constitution,merge,draft;foreign_affair
蘇聯新憲法,document,constitution,merge,foreign_affair
蘇聯新憲法草案,document,constitution,merge,draft;foreign_affair
西德憲法,document,constitution,merge,foreign_affair
西班牙憲法,document,constitution,merge,foreign_affair
西班牙新憲法,document,constitution,merge,foreign_affair
赤塔憲法,document,constitution,merge,foreign_affair
赤塔憲法議會,document,constitution,merge,
遠東共和國憲法,document,constitution,merge,foreign_affair
韋瑪憲法,document,constitution,merge,foreign_affair
韋馬憲法,document,constitution,merge,foreign_affair
魏馬憲法,document,constitution,merge,foreign_affair
五五憲草,document,constitution,merge,draft
政協憲草,document,constitution,merge,draft
日本帝國憲法,document,constitution,merge,foreign_affair
日本憲法,document,constitution,merge,foreign_affair
日本新憲法,document,constitution,merge,foreign_affair
現有憲法,document,constitution,merge,
現行憲法,document,constitution,merge,
自由市憲法,document,constitution,merge,foreign_affair
自由邦憲法,document,constitution,merge,foreign_affair
政治協商會議憲法草案,document,constitution,merge,draft
日本憲法草案,document,constitution,merge,draft;foreign_affair
自由邦憲法草案,document,constitution,merge,draft;foreign_affair
省憲法草案,document,constitution,merge,draft;local_governance
省憲草案,document,constitution,merge,draft;local_governance
人民憲法會議組織法,document,law,merge,
代表選舉法,document,law,merge,election
刑事訴訟法,document,law,merge,
刑律草案,document,law,merge,draft
勞工法案,document,law,merge,draft
印度政府法案,document,law,merge,draft;foreign_affair
參議院組織法,document,law,merge,
參議院議員選舉法,document,law,merge,election
國大組織法,document,law,merge,
國府組織法,document,law,merge,
國會組織法,document,law,merge,
國會組織法選舉法,document,law,merge,election
國會選舉法,document,law,merge,election
國民大會代表選舉法,document,law,merge,election
國民大會組織法,document,law,merge,
國民政府組織法,document,law,merge,
國民會議組織法,document,law,merge,
大總統選舉法,document,law,merge,election
官制大綱,document,law,merge,draft
政府組織法,document,law,merge,
新刑律草案,document,law,merge,draft
普通選舉法,document,law,merge,election
機關組織法,document,law,merge,
民事訴訟法,document,law,merge,
民刑訴訟法,document,law,merge,
治安警察法,document,law,merge,
法政學堂章程,document,law,merge,
法院組織法,document,law,merge,
法院編制法,document,law,merge,
立法院組織法,document,law,merge,
縣議會議員選舉法,document,law,merge,local_governance;election
大總統法,document,law,merge,
總統選舉法,document,law,merge,election
罷免法,document,law,merge,
罷免法草案,document,law,merge,draft
自治大綱,document,law,merge,draft
自治法,document,law,merge,
自治法案,document,law,merge,draft
衆議院議員選舉法,document,law,merge,election
行政大綱,document,law,merge,draft
行政院組織法,document,law,merge,
訴訟法,document,law,merge,
警察法,document,law,merge,
議員選舉法,document,law,merge,election
議院選舉法,document,law,merge,election
貴胄法政學堂章程,document,law,merge,
選舉法,document,law,merge,election
選舉罷免法,document,law,merge,election
法國政治,document,law,merge,foreign_affair
選舉法草案,document,law,merge,draft;election
選舉罷免法草案,document,law,merge,draft;election
選舉總統法,document,law,merge,election
基本大法,document,law,merge,
大經大法,document,law,merge,
法律大臣,document,law,merge,
