token,stop_layer,type
[,always,
],always,
·,always,
—,always,
“,always,
”,always,
…,always,
⊙,always,
□,always,
▲,always,
○,always,
●,always,
、,always,
。,always,
「,always,
」,always,
『,always,
』,always,
【,always,
】,always,
〔,always,
〔一〕,always,
〔七〕,always,
〔三,always,
〔三〕,always,
〔二,always,
〔二〕,always,
〔五〕,always,
〔八〕,always,
〔六〕,always,
〔四〕,always,
〕,always,
㈠,always,
㈡,always,
㈢,always,
㈣,always,
㈤,always,
㈥,always,
㈦,always,
㊀,always,
㊁,always,
㊂,always,
一,always,
一一,always,
一二,always,
一些,always,
一併,always,
一再,always,
一切,always,
一則,always,
一半,always,
一同,always,
一向,always,
一味,always,
一如,always,
一定,always,
一帶,always,
一度,always,
一律,always,
一心,always,
一意,always,
一成,always,
一手,always,
一方,always,
一方面,always,
一日,always,
一旦,always,
一概,always,
一直,always,
一經,always,
一面,always,
一點,always,
一齊,always,
七日,always,
三,always,
上,always,
上下,always,
上達,always,
上面,always,
下,always,
下令,always,
下去,always,
下詔,always,
下諭,always,
不,always,
不一,always,
不下,always,
不予,always,
不以爲然,always,
不但,always,
不便,always,
不備,always,
不僅,always,
不克,always,
不再,always,
不决,always,
不准,always,
不加,always,
不啻,always,
不圖,always,
不堪,always,
不外,always,
不外乎,always,
不失,always,
不容,always,
不屑,always,
不幸,always,
不得,always,
不得而知,always,
不必,always,
不悅,always,
不惜,always,
不意,always,
不愼,always,
不憚,always,
不成,always,
不拘,always,
不敏,always,
不敢,always,
不敷,always,
不料,always,
不斷,always,
不日,always,
不時,always,
不會,always,
不服,always,
不止,always,
不無,always,
不然,always,
不爲,always,
不特,always,
不獨,always,
不理,always,
不甘,always,
不用,always,
不確,always,
不禁,always,
不管,always,
不肯,always,
不至於,always,
不致,always,
不舉,always,
不若,always,
不虞,always,
不要,always,
不覺,always,
不解,always,
不足以,always,
不逮,always,
不逹,always,
不過,always,
不遑,always,
不適,always,
不須,always,
且,always,
並,always,
並且,always,
丨,always,
丶,always,
主,always,
乃,always,
乃是,always,
乃至,always,
之,always,
之上,always,
之下,always,
之中,always,
之內,always,
之内,always,
之初,always,
之前,always,
之外,always,
之多,always,
之後,always,
之所以,always,
之於,always,
之至,always,
之間,always,
之類,always,
之餘,always,
乎,always,
乏,always,
乘,always,
乘機,always,
也,always,
也好,always,
也然,always,
也許,always,
了,always,
予,always,
予以,always,
二,always,
二成,always,
二日,always,
于,always,
云,always,
云云,always,
云者,always,
互,always,
互有,always,
五,always,
五分之一,always,
五日,always,
亟,always,
亟欲,always,
亟須,always,
交,always,
交旨,always,
交與,always,
亦,always,
亦即,always,
享,always,
享有,always,
人家,always,
什,always,
什麼,always,
什麽,always,
仇,always,
今後,always,
仍,always,
仍然,always,
仍舊,always,
他,always,
他人,always,
他們,always,
他方,always,
他日,always,
他種,always,
仗,always,
付,always,
付與,always,
付表,always,
代,always,
令,always,
以,always,
以上,always,
以下,always,
以來,always,
以便,always,
以免,always,
以內,always,
以内,always,
以利,always,
以前,always,
以及,always,
以外,always,
以後,always,
以故,always,
以為,always,
以爲,always,
以至,always,
以至於,always,
以致,always,
以資,always,
以迄,always,
以迄於,always,
以防,always,
仰,always,
任,always,
任爲,always,
仿照,always,
企,always,
企望,always,
企盼,always,
伊,always,
伹,always,
似,always,
似乎,always,
似於,always,
但,always,
但是,always,
但願,always,
佈告,always,
住,always,
佑,always,
何,always,
何不,always,
何也,always,
何以,always,
何其,always,
