token,stop_layer,type
百分之一,optional,
百分之三十五,optional,
三令五申,optional,
受賄,optional,
呈報,optional,
定都,optional,
宣判,optional,
宣稱,optional,
宣講,optional,
披露,optional,
揭示,optional,
查明,optional,
波及,optional,
派駐,optional,
流傳,optional,
聲稱,optional,
訊問,optional,
責問,optional,
關懷,optional,
陳訴,optional,
駐,optional,
一般,optional,
三分之一,optional,
三分之二,optional,
三分二,optional,
不免,optional,
不及,optional,
不可,optional,
不可以,optional,
不可能,optional,
不合,optional,
不如,optional,
不妨,optional,
不定,optional,
不宜,optional,
不少,optional,
不得不,optional,
不復,optional,
不忍,optional,
不忘,optional,
不暇,optional,
不當,optional,
不盡,optional,
不符,optional,
不能,optional,
不能不,optional,
不至,optional,
不計,optional,
不許,optional,
不論,optional,
不遺餘力,optional,
不顧,optional,
並非,optional,
事先,optional,
二分之一,optional,
二十分之一,optional,
亟應,optional,
全部,optional,
决不能,optional,
務必,optional,
區區,optional,
十分之四,optional,
可能,optional,
四分之一,optional,
四分之三,optional,
尚未,optional,
局部,optional,
届時,optional,
屢次,optional,
必需,optional,
日漸,optional,
有鑒於此,optional,
未嘗,optional,
未曾,optional,
未滿,optional,
決不,optional,
決不能,optional,
漸次,optional,
漸漸,optional,
無疑,optional,
無須,optional,
百分之二十,optional,
百分之十五,optional,
立刻,optional,
終始,optional,
終於,optional,
絕不,optional,
絕對,optional,
絶不,optional,
絶對,optional,
絶非,optional,
總計,optional,
罷了,optional,
萬,optional,
逐步,optional,
難免,optional,
首先,optional,
