replace_from,replace_to
丢,丟
乱,亂
亚,亞
伫,佇
倂,併
来,來
侣,侶
伣,俔
侠,俠
俩,倆
个,個
们,們
值,値
杰,傑
备,備
佣,傭
传,傳
债,債
伤,傷
仅,僅
价,價
仪,儀
㑺,儁
侬,儂
偿,償
优,優
储,儲
兑,兌
内,內
两,兩
冊,册
净,凈
凛,凜
凯,凱
别,別
删,刪
则,則
刚,剛
剥,剝
划,劃
动,動
务,務
勋,勛
胜,勝
劳,勞
势,勢
勲,勳
勻,匀
匮,匱
却,卻
厕,厠
叄,參
参,參
叁,參
丛,叢
吴,吳
呉,吳
呉,吳
呐,吶
吕,呂
吒,咤
员,員
问,問
唤,喚
乔,喬
吗,嗎
尝,嘗
嘘,噓
吓,嚇
嚣,囂
嘱,囑
囘,回
国,國
圆,圓
团,團
报,報
填,塡
坠,墜
堕,墮
够,夠
伙,夥
奥,奧
夺,奪
妆,妝
娯,娛
娱,娛
娯,娛
婵,嬋
宫,宮
寝,寢
宁,寧
审,審
宽,寬
将,將
寻,尋
对,對
届,屆
属,屬
崭,嶄
帅,帥
带,帶
帮,幫
几,幾
厢,廂
厦,廈
廪,廩
张,張
强,強
彝,彞
彦,彥
从,從
复,復
恒,恆
悦,悅
悮,悞
恶,惡
爱,愛
愠,慍
惨,慘
惭,慚
惯,慣
虑,慮
惫,憊
宪,憲
懔,懍
懑,懣
惩,懲
怀,懷
惧,懼
戯,戱
戸,戶
户,戶
抛,拋
挟,挾
揷,插
挿,插
换,換
挥,揮
摇,搖
揺,搖
揺,搖
捞,撈
撐,撑
挠,撓
抚,撫
掳,擄
担,擔
据,據
携,攜
摄,攝
効,效
叙,敘
敌,敵
数,數
断,斷
时,時
晋,晉
晩,晚
暂,暫
会,會
杨,楊
标,標
横,橫
权,權
钦,欽
歳,歲
歴,歷
历,歷
归,歸
殁,歿
殻,殼
壳,殼
毁,毀
气,氣
决,決
没,沒
况,況
汹,洶
凉,涼
淸,清
涣,渙
减,減
涡,渦
测,測
凑,湊
温,溫
灭,滅
滞,滯
满,滿
汉,漢
洁,潔
潜,潛
淀,澱
浓,濃
滥,濫
澜,瀾
灾,災
无,無
烟,煙
焕,煥
营,營
烛,燭
烂,爛
争,爭
為,爲
为,爲
爷,爺
牵,牽
奬,獎
独,獨
狯,獪
献,獻
现,現
琐,瑣
瑶,瑤
产,產
産,產
画,畫
当,當
瘾,癮
发,發
盗,盜
尽,盡
卢,盧
硏,研
硁,硜
码,碼
禄,祿
礼,禮
秃,禿
税,稅
禀,稟
种,種
积,積
颖,穎
稳,穩
穷,窮
窥,窺
窜,竄
竞,競
笔,筆
筑,築
简,簡
帘,簾
篮,籃
筹,籌
篱,籬
粤,粵
粮,糧
纠,糾
纪,紀
约,約
纥,紇
纳,納
纽,紐
纯,純
纰,紕
纱,紗
纸,紙
级,級
纷,紛
纭,紜
纺,紡
细,細
绅,紳
绐,紿
终,終
组,組
结,結
绝,絶
给,給
统,統
絕,絶
绥,綏
经,經
综,綜
维,維
绾,綰
纲,綱
缀,綴
绵,綿
緖,緒
绪,緒
缄,緘
线,線
缐,線
缎,緞
缔,締
缘,緣
编,編
缓,緩
缅,緬
缜,縝
缝,縫
缩,縮
总,總
绩,績
织,織
缮,繕
缴,繳
累,纍
罚,罰
义,義
翘,翹
圣,聖
闻,聞
聨,聯
联,聯
聪,聰
职,職
听,聽
肃,肅
脱,脫
脚,腳
胆,膽
与,與
艰,艱
兹,茲
荆,荊
庄,莊
华,華
万,萬
叶,葉
莼,蒓
盖,蓋
蒋,蔣
萧,蕭
荐,薦
苏,蘇
兰,蘭
处,處
虚,虛
蜕,蛻
虫,蟲
蝇,蠅
蜡,蠟
眾,衆
术,術
卫,衛
补,補
装,裝
亵,褻
袜,襪
见,見
规,規
视,視
觎,覦
觐,覲
触,觸
计,計
讦,訐
讬,託
设,設
诉,訴
诏,詔
评,評
词,詞
询,詢
诧,詫
话,話
该,該
详,詳
认,認
诞,誕
语,語
诚,誠
误,誤
诰,誥
説,說
说,說
调,調
请,請
谘,諮
谙,諳
诸,諸
谓,謂
谦,謙
谥,謚
谢,謝
謡,謠
谱,譜
誉,譽
变,變
丰,豐
猪,豬
猫,貓
财,財
贡,貢
货,貨
贩,販
贯,貫
责,責
费,費
贻,貽
贸,貿
贺,賀
贿,賄
资,資
宾,賓
赐,賜
赏,賞
赓,賡
赋,賦
质,質
赜,賾
赠,贈
赞,贊
赡,贍
赣,贛
踊,踴
跃,躍
躏,躪
车,車
军,軍
轩,軒
轼,軾
较,較
载,載
轾,輊
辉,輝
辍,輟
辈,輩
舆,輿
辕,轅
办,辦
辞,辭
辫,辮
辩,辯
农,農
这,這
连,連
进,進
过,過
遥,遙
辽,遼
还,還
边,邊
郞,郎
邮,郵
郷,鄕
鄉,鄕
邻,鄰
酿,釀
针,針
钜,鉅
银,銀
铜,銅
铭,銘
鋭,銳
销,銷
锟,錕
锡,錫
错,錯
键,鍵
锺,鍾
鎮,鎭
镒,鎰
凿,鑿
闭,閉
开,開
闰,閏
间,間
阁,閣
阅,閱
閲,閱
阖,闔
阙,闕
阵,陣
阴,陰
陈,陳
阳,陽
阶,階
际,際
随,隨
隐,隱
隷,隸
虽,雖
双,雙
雏,雛
离,離
电,電
青,靑
静,靜
韵,韻
响,響
项,項
须,須
预,預
颁,頒
顿,頓
颇,頗
领,領
题,題
额,額
颜,顏
顔,顏
颟,顢
颧,顴
风,風
飘,飄
飲,餘
馀,餘
舘,館
马,馬
驻,駐
骇,駭
骙,騤
腾,騰
骢,驄
骤,驟
骥,驥
体,體
鹏,鵬
鹰,鷹
卤,鹵
麦,麥
么,麼
麽,麼
黄,黃
党,黨
黩,黷
齐,齊
龉,齬
庞,龐
