context_uid,date,exclude_reason
0,1872-08-20,rule_pre1913_no_core_companion
1,1872-08-31,rule_pre1913_no_core_companion
2,1872-09-02,rule_pre1913_no_core_companion
3,1872-09-24,rule_pre1913_no_core_companion
4,1872-09-24,rule_pre1913_no_core_companion
5,1872-10-01,rule_pre1913_no_core_companion
6,1872-10-07,rule_pre1913_no_core_companion
7,1872-10-07,rule_pre1913_no_core_companion
8,1872-10-08,rule_pre1913_no_core_companion
9,1872-10-09,rule_pre1913_no_core_companion
10,1872-10-26,rule_pre1913_no_core_companion
11,1872-11-07,rule_pre1913_no_core_companion
13,1872-11-27,rule_pre1913_no_core_companion
14,1872-12-20,rule_pre1913_no_core_companion
15,1872-12-24,rule_pre1913_no_core_companion
16,1872-12-27,rule_pre1913_no_core_companion
17,1873-01-25,rule_pre1913_no_core_companion
18,1873-02-15,rule_pre1913_no_core_companion
19,1873-02-15,rule_pre1913_no_core_companion
20,1873-02-15,rule_pre1913_no_core_companion
21,1873-02-17,rule_pre1913_no_core_companion
22,1873-02-19,rule_pre1913_no_core_companion
23,1873-02-20,rule_pre1913_no_core_companion
24,1873-02-20,rule_pre1913_no_core_companion
25,1873-02-21,rule_pre1913_no_core_companion
26,1873-02-21,rule_pre1913_no_core_companion
27,1873-02-22,rule_pre1913_no_core_companion
28,1873-02-27,rule_pre1913_no_core_companion
29,1873-03-10,rule_pre1913_no_core_companion
30,1873-03-11,rule_pre1913_no_core_companion
31,1873-03-13,rule_pre1913_no_core_companion
32,1873-03-22,rule_pre1913_no_core_companion
33,1873-03-25,rule_pre1913_no_core_companion
34,1873-04-01,rule_pre1913_no_core_companion
35,1873-04-05,rule_pre1913_no_core_companion
36,1873-04-14,rule_pre1913_no_core_companion
37,1873-04-18,rule_pre1913_no_core_companion
38,1873-04-30,rule_pre1913_no_core_companion
39,1873-05-09,rule_pre1913_no_core_companion
41,1873-05-23,rule_pre1913_no_core_companion
42,1873-05-23,rule_pre1913_no_core_companion
43,1873-05-26,rule_pre1913_no_core_companion
44,1873-06-10,rule_pre1913_no_core_companion
45,1873-07-03,rule_pre1913_no_core_companion
46,1873-07-07,rule_pre1913_no_core_companion
47,1873-07-11,rule_pre1913_no_core_companion
48,1873-07-11,rule_pre1913_no_core_companion
49,1873-07-14,rule_pre1913_no_core_companion
50,1873-07-15,rule_pre1913_no_core_companion
51,1873-07-19,rule_pre1913_no_core_companion
52,1873-07-21,rule_pre1913_no_core_companion
53,1873-07-31,rule_pre1913_no_core_companion
54,1873-08-01,rule_pre1913_no_core_companion
55,1873-08-20,rule_pre1913_no_core_companion
57,1873-09-06,rule_pre1913_no_core_companion
58,1873-09-24,rule_pre1913_no_core_companion
59,1873-09-24,rule_pre1913_no_core_companion
60,1873-10-01,rule_pre1913_no_core_companion
61,1873-10-04,rule_pre1913_no_core_companion
62,1873-10-06,rule_pre1913_no_core_companion
63,1873-10-29,rule_pre1913_no_core_companion
64,1873-10-30,rule_pre1913_no_core_companion
65,1873-10-31,rule_pre1913_no_core_companion
66,1873-11-03,rule_pre1913_no_core_companion
67,1873-11-04,rule_pre1913_no_core_companion
68,1873-11-08,rule_pre1913_no_core_companion
69,1873-11-11,rule_pre1913_no_core_companion
70,1873-11-25,rule_pre1913_no_core_companion
71,1873-11-29,rule_pre1913_no_core_companion
72,1873-12-01,rule_pre1913_no_core_companion
73,1873-12-02,rule_pre1913_no_core_companion
74,1873-12-04,rule_pre1913_no_core_companion
75,1873-12-10,rule_pre1913_no_core_companion
76,1873-12-18,rule_pre1913_no_core_companion
77,1873-12-24,rule_pre1913_no_core_companion
78,1874-01-03,rule_pre1913_no_core_companion
79,1874-01-14,rule_pre1913_no_core_companion
80,1874-01-22,rule_pre1913_no_core_companion
81,1874-01-23,rule_pre1913_no_core_companion
82,1874-03-07,rule_pre1913_no_core_companion
83,1874-03-11,rule_pre1913_no_core_companion
84,1874-04-02,rule_pre1913_no_core_companion
85,1874-04-11,rule_pre1913_no_core_companion
86,1874-04-17,rule_pre1913_no_core_companion
87,1874-05-04,rule_pre1913_no_core_companion
88,1874-05-26,rule_pre1913_no_core_companion
89,1874-05-30,rule_pre1913_no_core_companion
91,1874-06-08,rule_pre1913_no_core_companion
92,1874-06-17,rule_pre1913_no_core_companion
93,1874-06-20,rule_pre1913_no_core_companion
94,1874-06-20,rule_pre1913_no_core_companion
95,1874-06-22,rule_pre1913_no_core_companion
96,1874-06-24,rule_pre1913_no_core_companion
97,1874-08-14,rule_pre1913_no_core_companion
98,1874-08-18,rule_pre1913_no_core_companion
99,1874-08-21,rule_pre1913_no_core_companion
100,1874-09-04,rule_pre1913_no_core_companion
102,1874-12-12,rule_pre1913_no_core_companion
103,1874-12-24,rule_pre1913_no_core_companion
104,1875-01-12,rule_pre1913_no_core_companion
105,1875-01-27,rule_pre1913_no_core_companion
106,1875-01-29,rule_pre1913_no_core_companion
107,1875-02-01,rule_pre1913_no_core_companion
108,1875-02-01,rule_pre1913_no_core_companion
109,1875-02-04,rule_pre1913_no_core_companion
110,1875-02-11,rule_pre1913_no_core_companion
111,1875-02-19,rule_pre1913_no_core_companion
112,1875-02-20,rule_pre1913_no_core_companion
114,1875-03-01,rule_pre1913_no_core_companion
115,1875-03-01,rule_pre1913_no_core_companion
116,1875-03-08,rule_pre1913_no_core_companion
117,1875-03-10,rule_pre1913_no_core_companion
118,1875-03-12,rule_pre1913_no_core_companion
119,1875-03-19,rule_pre1913_no_core_companion
120,1875-03-29,rule_pre1913_no_core_companion
121,1875-04-06,rule_pre1913_no_core_companion
122,1875-04-06,rule_pre1913_no_core_companion
123,1875-04-08,rule_pre1913_no_core_companion
124,1875-04-10,rule_pre1913_no_core_companion
125,1875-04-19,rule_pre1913_no_core_companion
126,1875-04-24,rule_pre1913_no_core_companion
127,1875-04-26,rule_pre1913_no_core_companion
128,1875-04-27,rule_pre1913_no_core_companion
129,1875-04-27,rule_pre1913_no_core_companion
130,1875-04-29,rule_pre1913_no_core_companion
131,1875-04-30,rule_pre1913_no_core_companion
132,1875-04-30,rule_pre1913_no_core_companion
133,1875-05-01,rule_pre1913_no_core_companion
134,1875-05-03,rule_pre1913_no_core_companion
135,1875-05-04,rule_pre1913_no_core_companion
136,1875-05-05,rule_pre1913_no_core_companion
137,1875-05-11,rule_pre1913_no_core_companion
138,1875-05-14,rule_pre1913_no_core_companion
139,1875-05-15,rule_pre1913_no_core_companion
140,1875-05-18,rule_pre1913_no_core_companion
141,1875-05-19,rule_pre1913_no_core_companion
142,1875-05-19,rule_pre1913_no_core_companion
143,1875-05-21,rule_pre1913_no_core_companion
144,1875-05-22,rule_pre1913_no_core_companion
145,1875-05-22,rule_pre1913_no_core_companion
146,1875-06-09,rule_pre1913_no_core_companion
147,1875-06-10,rule_pre1913_no_core_companion
148,1875-06-22,rule_pre1913_no_core_companion
149,1875-06-29,rule_pre1913_no_core_companion
150,1875-07-05,rule_pre1913_no_core_companion
151,1875-07-06,rule_pre1913_no_core_companion
152,1875-07-13,rule_pre1913_no_core_companion
153,1875-07-26,rule_pre1913_no_core_companion
154,1875-07-29,rule_pre1913_no_core_companion
155,1875-08-02,rule_pre1913_no_core_companion
156,1875-08-02,rule_pre1913_no_core_companion
157,1875-08-04,rule_pre1913_no_core_companion
158,1875-08-25,rule_pre1913_no_core_companion
160,1875-09-15,rule_pre1913_no_core_companion
161,1875-09-17,rule_pre1913_no_core_companion
162,1875-10-16,rule_pre1913_no_core_companion
163,1875-10-25,rule_pre1913_no_core_companion
164,1875-11-03,rule_pre1913_no_core_companion
165,1875-11-05,rule_pre1913_no_core_companion
166,1875-11-06,rule_pre1913_no_core_companion
167,1875-11-06,rule_pre1913_no_core_companion
168,1875-11-12,rule_pre1913_no_core_companion
169,1875-11-13,rule_pre1913_no_core_companion
170,1875-11-18,rule_pre1913_no_core_companion
171,1875-11-20,rule_pre1913_no_core_companion
172,1875-11-26,rule_pre1913_no_core_companion
173,1875-11-27,rule_pre1913_no_core_companion
174,1875-11-29,rule_pre1913_no_core_companion
175,1875-11-30,rule_pre1913_no_core_companion
177,1875-12-01,rule_pre1913_no_core_companion
178,1875-12-02,rule_pre1913_no_core_companion
179,1875-12-03,rule_pre1913_no_core_companion
180,1875-12-18,rule_pre1913_no_core_companion
181,1875-12-18,rule_pre1913_no_core_companion
182,1875-12-23,rule_pre1913_no_core_companion
183,1875-12-25,rule_pre1913_no_core_companion
184,1875-12-27,rule_pre1913_no_core_companion
185,1875-12-29,rule_pre1913_no_core_companion
186,1876-01-08,rule_pre1913_no_core_companion
187,1876-01-12,rule_pre1913_no_core_companion
188,1876-01-17,rule_pre1913_no_core_companion
189,1876-01-17,rule_pre1913_no_core_companion
190,1876-01-20,rule_pre1913_no_core_companion
191,1876-02-01,rule_pre1913_no_core_companion
192,1876-02-04,rule_pre1913_no_core_companion
193,1876-02-05,rule_pre1913_no_core_companion
194,1876-02-05,rule_pre1913_no_core_companion
195,1876-02-09,rule_pre1913_no_core_companion
196,1876-02-10,rule_pre1913_no_core_companion
197,1876-02-11,rule_pre1913_no_core_companion
198,1876-02-14,rule_pre1913_no_core_companion
199,1876-02-14,rule_pre1913_no_core_companion
200,1876-02-16,rule_pre1913_no_core_companion
201,1876-02-22,rule_pre1913_no_core_companion
203,1876-03-07,rule_pre1913_no_core_companion
204,1876-03-07,rule_pre1913_no_core_companion
205,1876-03-10,rule_pre1913_no_core_companion
206,1876-03-11,rule_pre1913_no_core_companion
207,1876-03-13,rule_pre1913_no_core_companion
208,1876-03-16,rule_pre1913_no_core_companion
209,1876-03-18,rule_pre1913_no_core_companion
210,1876-03-20,rule_pre1913_no_core_companion
211,1876-03-20,rule_pre1913_no_core_companion
212,1876-03-20,rule_pre1913_no_core_companion
213,1876-03-21,rule_pre1913_no_core_companion
214,1876-03-21,rule_pre1913_no_core_companion
215,1876-03-22,rule_pre1913_no_core_companion
216,1876-03-22,rule_pre1913_no_core_companion
217,1876-03-28,rule_pre1913_no_core_companion
218,1876-04-01,rule_pre1913_no_core_companion
219,1876-04-05,rule_pre1913_no_core_companion
220,1876-04-07,rule_pre1913_no_core_companion
221,1876-04-11,rule_pre1913_no_core_companion
222,1876-04-15,rule_pre1913_no_core_companion
223,1876-04-15,rule_pre1913_no_core_companion
224,1876-04-17,rule_pre1913_no_core_companion
225,1876-04-18,rule_pre1913_no_core_companion
226,1876-04-22,rule_pre1913_no_core_companion
227,1876-04-24,rule_pre1913_no_core_companion
228,1876-04-26,rule_pre1913_no_core_companion
229,1876-04-28,rule_pre1913_no_core_companion
230,1876-05-06,rule_pre1913_no_core_companion
231,1876-05-08,rule_pre1913_no_core_companion
232,1876-05-09,rule_pre1913_no_core_companion
233,1876-05-09,rule_pre1913_no_core_companion
234,1876-05-09,rule_pre1913_no_core_companion
235,1876-05-10,rule_pre1913_no_core_companion
236,1876-05-10,rule_pre1913_no_core_companion
237,1876-05-10,rule_pre1913_no_core_companion
238,1876-05-12,rule_pre1913_no_core_companion
239,1876-05-15,rule_pre1913_no_core_companion
240,1876-05-15,rule_pre1913_no_core_companion
241,1876-05-15,rule_pre1913_no_core_companion
242,1876-05-19,rule_pre1913_no_core_companion
243,1876-05-19,rule_pre1913_no_core_companion
244,1876-05-19,rule_pre1913_no_core_companion
245,1876-05-22,rule_pre1913_no_core_companion
246,1876-05-24,rule_pre1913_no_core_companion
247,1876-05-24,rule_pre1913_no_core_companion
248,1876-06-02,rule_pre1913_no_core_companion
249,1876-06-06,rule_pre1913_no_core_companion
250,1876-06-06,rule_pre1913_no_core_companion
251,1876-06-07,rule_pre1913_no_core_companion
252,1876-06-09,rule_pre1913_no_core_companion
253,1876-06-12,rule_pre1913_no_core_companion
254,1876-06-12,rule_pre1913_no_core_companion
255,1876-06-13,rule_pre1913_no_core_companion
256,1876-06-17,rule_pre1913_no_core_companion
257,1876-06-21,rule_pre1913_no_core_companion
258,1876-06-27,rule_pre1913_no_core_companion
259,1876-06-29,rule_pre1913_no_core_companion
260,1876-07-04,rule_pre1913_no_core_companion
261,1876-07-04,rule_pre1913_no_core_companion
262,1876-07-05,rule_pre1913_no_core_companion
263,1876-07-11,rule_pre1913_no_core_companion
264,1876-07-12,rule_pre1913_no_core_companion
265,1876-07-15,rule_pre1913_no_core_companion
266,1876-07-17,rule_pre1913_no_core_companion
267,1876-07-17,rule_pre1913_no_core_companion
268,1876-07-19,rule_pre1913_no_core_companion
269,1876-07-26,rule_pre1913_no_core_companion
270,1876-07-28,rule_pre1913_no_core_companion
271,1876-07-31,rule_pre1913_no_core_companion
272,1876-08-10,rule_pre1913_no_core_companion
273,1876-08-10,rule_pre1913_no_core_companion
274,1876-08-15,rule_pre1913_no_core_companion
275,1876-08-15,rule_pre1913_no_core_companion
276,1876-08-18,rule_pre1913_no_core_companion
277,1876-08-19,rule_pre1913_no_core_companion
278,1876-09-07,rule_pre1913_no_core_companion
279,1876-09-13,rule_pre1913_no_core_companion
280,1876-09-20,rule_pre1913_no_core_companion
281,1876-09-27,rule_pre1913_no_core_companion
282,1876-10-07,rule_pre1913_no_core_companion
283,1876-10-18,rule_pre1913_no_core_companion
284,1876-11-01,rule_pre1913_no_core_companion
285,1876-11-03,rule_pre1913_no_core_companion
286,1876-11-07,rule_pre1913_no_core_companion
287,1876-11-07,rule_pre1913_no_core_companion
288,1876-11-11,rule_pre1913_no_core_companion
289,1876-11-11,rule_pre1913_no_core_companion
290,1876-11-25,rule_pre1913_no_core_companion
291,1876-12-28,rule_pre1913_no_core_companion
