date,title,article_id,context_uids,paper_section,evidence_terms
1905-07-13,日本改定法律沿革攷續,A2013010391372,1489,1905-1913 立憲-憲法,憲法;法;法律
1905-08-01,吾國宜硏究政法學說,A2013010392861,1506;1507,1905-1913 立憲-憲法,立憲;憲法;法;權
1906-10-28,對於立憲諭旨敬告書業,A2013010429295,2103;2104;2105;2106,1905-1913 立憲-憲法,立憲;憲政;憲法;法律
1917-08-23,召集臨時參議院近訊,A2013040094154,16341,1913-1923 憲法-制憲,舊;解決;憲法;制憲
1917-01-14,審議會出席制限從嚴,A2013040070647,15228;15229,1913-1923 憲法-制憲,進行;憲法;制憲
1946-12-17,印臨時政府考慮 三日內宣布獨立,A2013060787569,34709;34710,1945-1949 憲法-制憲,印度;憲法;制憲
1946-11-08,社論 從美國選舉看我國憲法,A2013060779036,34119;34120;34121;34122;34123;34124,1945-1949 憲法-制憲,美國;憲法;制憲
1946-11-26,王寵惠談新憲章 係根據政協原則擬成者,A2013060782604,34376;34377,1945-1949 憲法-制憲,美國;憲法;制憲
1946-10-11,方治發表時局意見 國大爲憲政階梯,A2013060772757,33991;33992;33993,1945-1949 憲政-憲法,民主;人民;保障;精神
1946-10-03,張君勱對時局意見,A2013060771010,33965;33966;33967;33968,1945-1949 憲政-憲法,統一;憲法;國民大會
1946-03-31,參政會通過敎育文化提案,A2013060739315,33512,1945-1949 憲政-憲法,敎育;民智;憲政
1947-02-02,新的階段新的規劃 全國敎育會議,A2013060795770,35273,1945-1949 憲政-憲法,敎育;民主;憲政;憲法
