token,token_profile,network_window,period_set_id,period_id,period_label,period_sort_order,period_start_date,period_end_date,pair_id,focus_a_norm,focus_a_label,focus_b_norm,focus_b_label,candidate_scope,neighbor_scope,topn,pair_count_mode,comparison_type,comparison_id,robust_topn,robust_min_metrics,robust_score,robust_class,included_metrics,log_odds_z,log_likelihood,log_ratio,chi_square,tfidf,rank_positive,rank_log_likelihood,rank_log_ratio,rank_chi_square,rank_tfidf,count_period,count_ref,rate_period,rate_ref,edge_a,edge_b,shared_strength,period_keyness_log_odds_z,period_keyness_rank_positive,dominant_pos,dict_lv1,dict_lv2
籌備,full,10,long_period_manual,long_period_manual_p001,long_period_manual_p001,1,1905-07-12,1913-02-22,立憲-憲政,lixian,立憲,xianzheng,憲政,shared,top100,100,min,same_period_other_pairs,all_other,30,3,5,strong,log_odds_z;log_likelihood;log_ratio;chi_square;tfidf,13.919258273052852,549.1162201200789,9.699236227974623,425.1312664633297,0.09031203125523976,1,1,1,1,1,333.0,0.0,0.053339740509370494,0.0,333.0,907.0,0.010457885811192764,43.176316826648566,2.0,VC,nan,nan
前途,full,10,long_period_manual,long_period_manual_p001,long_period_manual_p001,1,1905-07-12,1913-02-22,立憲-憲政,lixian,立憲,xianzheng,憲政,shared,top100,100,min,same_period_other_pairs,all_other,30,3,5,strong,log_odds_z;log_likelihood;log_ratio;chi_square;tfidf,8.163102531925697,190.60606402341688,8.194210223355038,147.05046107238007,0.031731254224813966,3,2,2,4,5,117.0,0.0,0.01874098990869774,0.0,117.0,181.0,0.003674392312040701,10.37084291440744,188.0,Na,nan,nan
諮議局,full,10,long_period_manual,long_period_manual_p001,long_period_manual_p001,1,1905-07-12,1913-02-22,立憲-憲政,lixian,立憲,xianzheng,憲政,shared,top100,100,min,same_period_other_pairs,all_other,30,3,5,strong,log_odds_z;log_likelihood;log_ratio;chi_square;tfidf,7.876008058656914,177.4943008023791,8.09248033639121,136.91696722319656,0.02956159581627968,4,4,3,5,7,109.0,0.0,0.017459554701265416,0.0,150.0,109.0,0.004710759374411155,20.090356775314262,31.0,Nc,nan,nan
事宜,full,10,long_period_manual,long_period_manual_p001,long_period_manual_p001,1,1905-07-12,1913-02-22,立憲-憲政,lixian,立憲,xianzheng,憲政,shared,top100,100,min,same_period_other_pairs,all_other,30,3,5,strong,log_odds_z;log_likelihood;log_ratio;chi_square;tfidf,7.386752238980886,156.2125627644769,7.910150314058118,120.47486779679168,0.026035900902411462,5,6,4,7,9,96.0,0.0,0.015377222489187891,0.0,96.0,219.0,0.003014885999623139,30.659590196830894,6.0,Na,nan,nan
實行,full,10,long_period_manual,long_period_manual_p001,long_period_manual_p001,1,1905-07-12,1913-02-22,立憲-憲政,lixian,立憲,xianzheng,憲政,shared,top100,100,min,same_period_other_pairs,all_other,30,3,5,strong,log_odds_z;log_likelihood;log_ratio;chi_square;tfidf,11.12225013278937,153.9927430157074,1.8008282924522898,151.58647111563607,0.050296331891718726,2,7,22,3,2,314.0,112.0,0.050296331891718726,0.014394036756201002,550.0,314.0,0.015703925981495375,14.79983972672136,68.0,VC,nan,nan
地方自治,full,10,long_period_manual,long_period_manual_p001,long_period_manual_p001,1,1905-07-12,1913-02-22,立憲-憲政,lixian,立憲,xianzheng,憲政,shared,top100,100,min,same_period_other_pairs,all_other,30,3,5,strong,log_odds_z;log_likelihood;log_ratio;chi_square;tfidf,7.069524824383338,143.13138294014541,7.785298826873035,110.37189978838296,0.023866242493877175,6,8,5,8,11,88.0,0.0,0.014095787281755567,0.0,172.0,88.0,0.004401100275068767,20.185056453666768,30.0,Na,concept,institutional_principle
自治,full,10,long_period_manual,long_period_manual_p001,long_period_manual_p001,1,1905-07-12,1913-02-22,立憲-憲政,lixian,立憲,xianzheng,憲政,shared,top100,100,min,same_period_other_pairs,all_other,30,3,5,strong,log_odds_z;log_likelihood;log_ratio;chi_square;tfidf,6.988047999943441,139.8629030933405,7.752321504426762,107.84796991284277,0.0233238278917436,7,9,6,9,13,86.0,0.0,0.013775428479897486,0.0,139.0,86.0,0.004301075268817204,2.8147907610995,2329.0,VA,nan,nan
基礎,full,10,long_period_manual,long_period_manual_p001,long_period_manual_p001,1,1905-07-12,1913-02-22,立憲-憲政,lixian,立憲,xianzheng,憲政,shared,top100,100,min,same_period_other_pairs,all_other,30,3,5,strong,log_odds_z;log_likelihood;log_ratio;chi_square;tfidf,6.946963277661232,138.2289352025457,7.735545791675936,106.58627657955029,0.023052620590676816,8,10,7,10,14,85.0,0.0,0.013615249078968444,0.0,184.0,85.0,0.0042510627656914225,4.475295867191052,1080.0,Na,nan,nan
辦法,full,10,long_period_manual,long_period_manual_p001,long_period_manual_p001,1,1905-07-12,1913-02-22,立憲-憲政,lixian,立憲,xianzheng,憲政,shared,top100,100,min,same_period_other_pairs,all_other,30,3,5,strong,log_odds_z;log_likelihood;log_ratio;chi_square;tfidf,6.864080472151134,134.96154327389445,7.70139756926409,104.06343292709627,0.022510205988543246,9,11,8,11,15,83.0,0.0,0.013294890277110364,0.0,84.0,83.0,0.0026380252496702467,10.878041640829563,160.0,Na,nan,nan
地方,full,10,long_period_manual,long_period_manual_p001,long_period_manual_p001,1,1905-07-12,1913-02-22,立憲-憲政,lixian,立憲,xianzheng,憲政,shared,top100,100,min,same_period_other_pairs,all_other,30,3,5,strong,log_odds_z;log_likelihood;log_ratio;chi_square;tfidf,6.522365974593539,121.89922071239633,7.556098016115117,93.9792927961746,0.020340547580008955,10,13,9,12,21,75.0,0.0,0.012013455069678039,0.0,91.0,75.0,0.0028578606871427674,6.7748687462081625,494.0,Na,nan,nan
