period_set_id,period_id,center_token,neighbor_token,direction,joint_count,raw_joint_event_count,center_marginal_count,neighbor_marginal_count,event_total,raw_event_total,center_raw_count,neighbor_raw_count,pmi,ppmi,distinct_context_count,distinct_article_count,avg_distance,pos_pair_json,rank_by_count,rank_by_pmi
global_all,global_all_p000,國會,憲法,U,3261,3261,48762,182841,989762,989762,48762,182841,-0.4658789146280753,0,,,5.3063477460901565,,1,17725
global_all,global_all_p000,憲法,規定,U,3202,3202,182841,23946,989762,989762,182841,23946,0.5337525675516154,0.5337525675516154,,,4.078388507183011,,2,15232
global_all,global_all_p000,憲法,新,U,2263,2263,182841,20048,989762,989762,182841,20048,0.289342209212818,0.289342209212818,,,3.228899690676094,,3,15970
global_all,global_all_p000,制定,憲法,U,2246,2246,11556,182841,989762,989762,11556,182841,1.0732797631037718,1.0732797631037718,,,3.0961709706144256,,4,13329
global_all,global_all_p000,國,憲法,U,2213,2213,35921,182841,989762,989762,35921,182841,-0.5842601181164824,0,,,5.07275192046995,,5,17903
global_all,global_all_p000,問題,憲法,U,2107,2107,27810,182841,989762,989762,27810,182841,-0.28584948614895717,0,,,4.69672520170859,,6,17401
global_all,global_all_p000,憲法,政府,U,1826,1826,182841,38215,989762,989762,182841,38215,-0.9508883206514125,0,,,5.857612267250821,,7,18284
global_all,global_all_p000,憲法,總統,U,1826,1826,182841,16850,989762,989762,182841,16850,0.2305021182954248,0.2305021182954248,,,5.281489594742607,,8,16114
global_all,global_all_p000,憲法,省,U,1639,1639,182841,35807,989762,989762,182841,35807,-1.0128618523056936,0,,,5.014643075045759,,9,18340
global_all,global_all_p000,立憲,預備,U,1614,1614,32350,5887,989762,989762,32350,5887,4.068351987413642,4.068351987413642,,,2.2162329615861216,,10,4730
global_all,global_all_p000,人,憲法,U,1487,1487,41099,182841,989762,989762,41099,182841,-1.352134699640042,0,,,6.38399462004035,,11,18536
global_all,global_all_p000,人民,憲法,U,1486,1486,23537,182841,989762,989762,23537,182841,-0.5489323875222526,0,,,5.830417227456258,,12,17852
global_all,global_all_p000,國家,憲法,U,1398,1398,19966,182841,989762,989762,19966,182841,-0.39961702627671153,0,,,5.286838340486409,,13,17626
global_all,global_all_p000,國會,議員,U,1308,1308,48762,29775,989762,989762,48762,29775,0.8345853864307602,0.8345853864307602,,,3.9655963302752295,,14,14174
global_all,global_all_p000,憲法,議員,U,1270,1270,182841,29775,989762,989762,182841,29775,-1.1147090667115243,0,,,6.092913385826772,,15,18407
global_all,global_all_p000,憲法,法律,U,1266,1266,182841,12709,989762,989762,182841,12709,0.10899083192718877,0.10899083192718877,,,5.691943127962086,,16,16437
global_all,global_all_p000,憲法,選舉,U,1223,1223,182841,17351,989762,989762,182841,17351,-0.3900304646135051,0,,,5.413736713000818,,17,17603
