Id,Source,Target,Type,Weight,Start,End,period_set_id,period_id,sort_order,profile,window_size,weight_type,joint_threshold,stopword_version,context_filter,joint_count,ppmi,rank_by_count,rank_by_pmi,distinct_context_count,distinct_article_count,avg_distance,pos_pair_json,label
full|w10|count|long_period_manual_p000|世|萬,世,萬,Undirected,5.0,1872-08-20,1905-07-11,long_period_manual,long_period_manual_p000,0,full,10,count,5,5always,filtered_pre_zhixian_context,5,7.655351828612554,43,1,,,1.0,,"5.0, 7.655, "
full|w10|count|long_period_manual_p000|中國|國,中國,國,Undirected,6.0,1872-08-20,1905-07-11,long_period_manual,long_period_manual_p000,0,full,10,count,5,5always,filtered_pre_zhixian_context,6,2.1141261188116096,28,33,,,5.833333333333333,,"6.0, 2.114, "
full|w10|count|long_period_manual_p000|中國|憲法,中國,憲法,Undirected,5.0,1872-08-20,1905-07-11,long_period_manual,long_period_manual_p000,0,full,10,count,5,5always,filtered_pre_zhixian_context,5,2.084888897586513,44,35,,,5.6,,"5.0, 2.085, "
full|w10|count|long_period_manual_p000|人|黨,人,黨,Undirected,6.0,1872-08-20,1905-07-11,long_period_manual,long_period_manual_p000,0,full,10,count,5,5always,filtered_pre_zhixian_context,6,7.392317422778761,29,3,,,4.0,,"6.0, 7.392, "
full|w10|count|long_period_manual_p000|佩|穿,佩,穿,Undirected,5.0,1872-08-20,1905-07-11,long_period_manual,long_period_manual_p000,0,full,10,count,5,5always,filtered_pre_zhixian_context,5,6.070389327891398,45,4,,,4.4,,"5.0, 6.070, "
full|w10|count|long_period_manual_p000|來電|俄國,來電,俄國,Undirected,5.0,1872-08-20,1905-07-11,long_period_manual,long_period_manual_p000,0,full,10,count,5,5always,filtered_pre_zhixian_context,5,7.655351828612554,46,2,,,3.8,,"5.0, 7.655, "
full|w10|count|long_period_manual_p000|俄皇|政體,俄皇,政體,Undirected,5.0,1872-08-20,1905-07-11,long_period_manual,long_period_manual_p000,0,full,10,count,5,5always,filtered_pre_zhixian_context,5,4.691877704637668,47,9,,,6.6,,"5.0, 4.692, "
full|w10|count|long_period_manual_p000|兩|國,兩,國,Undirected,6.0,1872-08-20,1905-07-11,long_period_manual,long_period_manual_p000,0,full,10,count,5,5always,filtered_pre_zhixian_context,6,2.988595236727751,30,21,,,1.0,,"6.0, 2.989, "
full|w10|count|long_period_manual_p000|共和|國,共和,國,Undirected,13.0,1872-08-20,1905-07-11,long_period_manual,long_period_manual_p000,0,full,10,count,5,5always,filtered_pre_zhixian_context,13,1.4036327360065946,10,45,,,4.846153846153846,,"13.0, 1.404, "
full|w10|count|long_period_manual_p000|共和|專制,共和,專制,Undirected,14.0,1872-08-20,1905-07-11,long_period_manual,long_period_manual_p000,0,full,10,count,5,5always,filtered_pre_zhixian_context,14,3.0729678719931743,8,19,,,4.785714285714286,,"14.0, 3.073, "
full|w10|count|long_period_manual_p000|共和|法,共和,法,Undirected,5.0,1872-08-20,1905-07-11,long_period_manual,long_period_manual_p000,0,full,10,count,5,5always,filtered_pre_zhixian_context,5,4.691877704637668,48,10,,,4.0,,"5.0, 4.692, "
full|w10|count|long_period_manual_p000|共和|立憲,共和,立憲,Undirected,7.0,1872-08-20,1905-07-11,long_period_manual,long_period_manual_p000,0,full,10,count,5,5always,filtered_pre_zhixian_context,7,1.4548385073368189,24,44,,,6.285714285714286,,"7.0, 1.455, "
full|w10|count|long_period_manual_p000|君|國,君,國,Undirected,6.0,1872-08-20,1905-07-11,long_period_manual,long_period_manual_p000,0,full,10,count,5,5always,filtered_pre_zhixian_context,6,0.36410437181995714,31,54,,,4.333333333333333,,"6.0, 0.364, "
full|w10|count|long_period_manual_p000|君|心,君,心,Undirected,6.0,1872-08-20,1905-07-11,long_period_manual,long_period_manual_p000,0,full,10,count,5,5always,filtered_pre_zhixian_context,6,4.767826557870967,32,8,,,7.166666666666667,,"6.0, 4.768, "
full|w10|count|long_period_manual_p000|君|民,君,民,Undirected,25.0,1872-08-20,1905-07-11,long_period_manual,long_period_manual_p000,0,full,10,count,5,5always,filtered_pre_zhixian_context,25,3.0366433162987665,1,20,,,5.84,,"25.0, 3.037, "
full|w10|count|long_period_manual_p000|君主|國,君主,國,Undirected,5.0,1872-08-20,1905-07-11,long_period_manual,long_period_manual_p000,0,full,10,count,5,5always,filtered_pre_zhixian_context,5,2.988595236727751,49,22,,,6.0,,"5.0, 2.989, "
full|w10|count|long_period_manual_p000|命|帝國,命,帝國,Undirected,6.0,1872-08-20,1905-07-11,long_period_manual,long_period_manual_p000,0,full,10,count,5,5always,filtered_pre_zhixian_context,6,2.084484157777185,33,36,,,4.166666666666667,,"6.0, 2.084, "
