period_set_id,period_id,center_token,neighbor_token,direction,joint_count,raw_joint_event_count,center_marginal_count,neighbor_marginal_count,event_total,raw_event_total,center_raw_count,neighbor_raw_count,pmi,ppmi,distinct_context_count,distinct_article_count,avg_distance,pos_pair_json,rank_by_count,rank_by_pmi
long_period_manual,long_period_manual_p002,國會,憲法,U,2103,2103,32677,72460,375816,375816,32677,72460,-0.5829850053795468,0,,,5.251069900142653,,1,12812
long_period_manual,long_period_manual_p002,制定,憲法,U,1137,1137,5937,72460,375816,375816,5937,72460,0.990267919620809,0.990267919620809,,,3.004397537379068,,2,9595
long_period_manual,long_period_manual_p002,問題,憲法,U,1081,1081,14987,72460,375816,375816,14987,72460,-0.4185034162112342,0,,,4.597594819611471,,3,12623
long_period_manual,long_period_manual_p002,憲法,規定,U,1033,1033,72460,7899,375816,375816,72460,7899,0.43994001059506965,0.43994001059506965,,,4.614714424007745,,4,11023
long_period_manual,long_period_manual_p002,國會,議員,U,979,979,32677,20430,375816,375816,32677,20430,0.14044251121242896,0.14044251121242896,,,3.800817160367722,,5,11681
long_period_manual,long_period_manual_p002,憲法,總統,U,973,973,72460,9775,375816,375816,72460,9775,0.046184786196263726,0.046184786196263726,,,5.151079136690647,,6,11869
long_period_manual,long_period_manual_p002,憲法,省,U,930,930,72460,13604,375816,375816,72460,13604,-0.49588660621521896,0,,,4.664516129032258,,7,12714
long_period_manual,long_period_manual_p002,制憲,國會,U,903,903,16600,32677,375816,375816,16600,32677,0.32336560158853245,0.32336560158853245,,,4.688815060908084,,8,11281
long_period_manual,long_period_manual_p002,國,憲法,U,801,801,9363,72460,375816,375816,9363,72460,-0.17232693173442698,0,,,5.169787765293384,,9,12253
long_period_manual,long_period_manual_p002,憲法,議員,U,796,796,72460,20430,375816,375816,72460,20430,-1.3070071845797115,0,,,6.2298994974874375,,10,13281
long_period_manual,long_period_manual_p002,人,憲法,U,715,715,21092,72460,375816,375816,21092,72460,-1.5078390712168515,0,,,6.415384615384616,,11,13345
long_period_manual,long_period_manual_p002,主張,憲法,U,663,663,11433,72460,375816,375816,11433,72460,-0.7332815549235073,0,,,5.552036199095022,,12,12946
long_period_manual,long_period_manual_p002,人,議員,U,644,644,21092,20430,375816,375816,21092,20430,0.16777397695207388,0.16777397695207388,,,5.361801242236025,,13,11620
long_period_manual,long_period_manual_p002,國會,新,U,641,641,32677,4593,375816,375816,32677,4593,1.6826385236271206,1.6826385236271206,,,3.5429017160686427,,14,7680
long_period_manual,long_period_manual_p002,國會,解散,U,604,604,32677,2935,375816,375816,32677,2935,2.242938996556988,2.242938996556988,,,3.3559602649006623,,15,6262
long_period_manual,long_period_manual_p002,憲法,選舉,U,603,603,72460,7730,375816,375816,72460,7730,-0.30546872841489564,0,,,5.233830845771144,,16,12448
long_period_manual,long_period_manual_p002,憲法,政府,U,595,595,72460,9150,375816,375816,72460,9150,-0.568040391366232,0,,,5.80672268907563,,17,12785
long_period_manual,long_period_manual_p002,國會,舊,U,578,578,32677,2828,375816,375816,32677,2828,2.2330383229206037,2.2330383229206037,,,3.3771626297577853,,18,6282
long_period_manual,long_period_manual_p002,國家,憲法,U,577,577,5959,72460,375816,375816,5959,72460,0.0063427550290758436,0.0063427550290758436,,,5.086655112651647,,19,11947
long_period_manual,long_period_manual_p002,憲法,新,U,568,568,72460,4593,375816,375816,72460,4593,0.3592958297809674,0.3592958297809674,,,4.195422535211268,,20,11194
long_period_manual,long_period_manual_p002,總統,選舉,U,554,554,9775,7730,375816,375816,9775,7730,2.4622754439927808,2.4622754439927808,,,2.687725631768953,,21,5709
long_period_manual,long_period_manual_p002,問題,國會,U,542,542,14987,32677,375816,375816,14987,32677,-0.26559591585991843,0,,,4.808118081180812,,22,12391
long_period_manual,long_period_manual_p002,制憲,議員,U,503,503,16600,20430,375816,375816,16600,20430,0.1567843489011671,0.1567843489011671,,,5.499005964214712,,23,11644
long_period_manual,long_period_manual_p002,憲法,法律,U,495,495,72460,5235,375816,375816,72460,5235,-0.02791932835396956,0,,,5.656565656565657,,24,12004
long_period_manual,long_period_manual_p002,公布,憲法,U,486,486,2042,72460,375816,375816,2042,72460,1.3038151312252086,1.3038151312252086,,,3.7818930041152266,,25,8773
long_period_manual,long_period_manual_p002,憲法,成立,U,461,461,72460,3197,375816,375816,72460,3197,0.580889690146047,0.580889690146047,,,4.5531453362255965,,26,10650
long_period_manual,long_period_manual_p002,召集,國會,U,455,455,3041,32677,375816,375816,3041,32677,1.7830716792845847,1.7830716792845847,,,3.756043956043956,,27,7379
long_period_manual,long_period_manual_p002,國會,總統,U,454,454,32677,9775,375816,375816,32677,9775,0.09534654543816169,0.09534654543816169,,,5.8039647577092515,,28,11768
long_period_manual,long_period_manual_p002,兩,憲法,U,446,446,7926,72460,375816,375816,7926,72460,-0.7767075735504498,0,,,5.744394618834081,,29,12983
long_period_manual,long_period_manual_p002,加入,憲法,U,444,444,2649,72460,375816,375816,2649,72460,0.7979535164777131,0.7979535164777131,,,3.0067567567567566,,30,10102
long_period_manual,long_period_manual_p002,不能,憲法,U,440,440,5764,72460,375816,375816,5764,72460,-0.3367251281528587,0,,,5.722727272727273,,31,12494
long_period_manual,long_period_manual_p002,憲法,約法,U,436,436,72460,3705,375816,375816,72460,3705,0.2876962760809596,0.2876962760809596,,,5.768348623853211,,32,11357
long_period_manual,long_period_manual_p002,制度,地方,U,431,431,2639,4522,375816,375816,2639,4522,4.76269011084918,4.76269011084918,,,1.8306264501160092,,33,2284
long_period_manual,long_period_manual_p002,憲法,組織,U,430,430,72460,5737,375816,375816,72460,5737,-0.36311817456527923,0,,,5.472093023255814,,34,12532
long_period_manual,long_period_manual_p002,問題,解決,U,421,421,14987,3276,375816,375816,14987,3276,2.688199742820153,2.688199742820153,,,4.085510688836105,,35,5176
long_period_manual,long_period_manual_p002,修正,憲法,U,416,416,2590,72460,375816,375816,2590,72460,0.7364731140644054,0.7364731140644054,,,4.603365384615385,,36,10274
long_period_manual,long_period_manual_p002,憲法,起草,U,416,416,72460,2784,375816,375816,72460,2784,0.632266000789593,0.632266000789593,,,3.5216346153846154,,37,10530
long_period_manual,long_period_manual_p002,制定,國會,U,403,403,5937,32677,375816,375816,5937,32677,0.6427966759886228,0.6427966759886228,,,4.826302729528536,,38,10501
long_period_manual,long_period_manual_p002,人民,憲法,U,399,399,4488,72460,375816,375816,4488,72460,-0.11684224588921785,0,,,6.010025062656641,,39,12150
long_period_manual,long_period_manual_p002,北京,憲法,U,396,396,6830,72460,375816,375816,6830,72460,-0.733543464600614,0,,,5.98989898989899,,40,12947
long_period_manual,long_period_manual_p002,憲法,討論,U,380,380,72460,7594,375816,375816,72460,7594,-0.9460188967909122,0,,,5.121052631578947,,41,13091
long_period_manual,long_period_manual_p002,制憲,問題,U,372,372,16600,14987,375816,375816,16600,14987,0.16850615138114747,0.16850615138114747,,,4.516129032258065,,42,11618
long_period_manual,long_period_manual_p002,國會,政府,U,370,370,32677,9150,375816,375816,32677,9150,-0.10449552231313138,0,,,5.4837837837837835,,43,12127
long_period_manual,long_period_manual_p002,人,國會,U,367,367,21092,32677,375816,375816,21092,32677,-1.321092983307296,0,,,5.795640326975477,,44,13289
long_period_manual,long_period_manual_p002,主席,人,U,363,363,5788,21092,375816,375816,5788,21092,1.1602352139220728,1.1602352139220728,,,5.297520661157025,,45,9151
long_period_manual,long_period_manual_p002,憲法,機關,U,363,363,72460,4102,375816,375816,72460,4102,-0.12351625998687209,0,,,5.432506887052342,,46,12159
long_period_manual,long_period_manual_p002,主張,國會,U,359,359,11433,32677,375816,375816,11433,32677,-0.4693973144809493,0,,,5.4735376044568245,,47,12684
long_period_manual,long_period_manual_p002,人數,法定,U,357,357,4120,2044,375816,375816,4120,2044,4.993839124858777,4.993839124858777,,,1.6750700280112045,,48,2132
long_period_manual,long_period_manual_p002,兩院,議員,U,347,347,4423,20430,375816,375816,4423,20430,1.529247705896897,1.529247705896897,,,3.2910662824207493,,49,8129
long_period_manual,long_period_manual_p002,兩,國會,U,346,346,7926,32677,375816,375816,7926,32677,0.005930020898064591,0.005930020898064591,,,4.832369942196531,,50,11948
long_period_manual,long_period_manual_p002,人,出席,U,345,345,21092,3368,375816,375816,21092,3368,1.868034811057182,1.868034811057182,,,4.550724637681159,,51,7189
long_period_manual,long_period_manual_p002,國會,約法,U,340,340,32677,3705,375816,375816,32677,3705,1.0778121541738293,1.0778121541738293,,,5.6117647058823525,,52,9374
long_period_manual,long_period_manual_p002,省,自治,U,339,339,13604,3075,375816,375816,13604,3075,2.6066944411524164,2.6066944411524164,,,3.9882005899705013,,53,5379
long_period_manual,long_period_manual_p002,憲法,開,U,327,327,72460,7958,375816,375816,72460,7958,-1.2302735796984257,0,,,5.7370030581039755,,54,13255
long_period_manual,long_period_manual_p002,國會,選舉,U,318,318,32677,7730,375816,375816,32677,7730,-0.07969069829853077,0,,,5.110062893081761,,55,12092
long_period_manual,long_period_manual_p002,不可,憲法,U,317,317,2006,72460,375816,375816,2006,72460,0.7130029180244558,0.7130029180244558,,,5.624605678233438,,56,10348
long_period_manual,long_period_manual_p002,召集,憲法,U,312,312,3041,72460,375816,375816,3041,72460,0.0898418963286798,0.0898418963286798,,,5.288461538461538,,57,11784
long_period_manual,long_period_manual_p002,憲法,解決,U,307,307,72460,3276,375816,375816,72460,3276,-0.04085501777360003,0,,,5.221498371335505,,58,12019
long_period_manual,long_period_manual_p002,憲法會議,議員,U,307,307,10027,20430,375816,375816,10027,20430,0.17175781860464756,0.17175781860464756,,,5.960912052117264,,59,11616
long_period_manual,long_period_manual_p002,地方,憲法,U,302,302,4522,72460,375816,375816,4522,72460,-0.5295707589292209,0,,,5.556291390728477,,60,12748
long_period_manual,long_period_manual_p002,憲法會議,開,U,300,300,10027,7958,375816,375816,10027,7958,1.4986930636572011,1.4986930636572011,,,3.48,,61,8220
long_period_manual,long_period_manual_p002,憲法會議,開會,U,299,299,10027,7404,375816,375816,10027,7404,1.5979770511825888,1.5979770511825888,,,4.150501672240803,,62,7929
long_period_manual,long_period_manual_p002,憲法,開會,U,294,294,72460,7404,375816,375816,72460,7404,-1.2796470565369804,0,,,5.73469387755102,,63,13270
long_period_manual,long_period_manual_p002,人,人數,U,292,292,21092,4120,375816,375816,21092,4120,1.336654619267483,1.336654619267483,,,5.671232876712328,,64,8681
long_period_manual,long_period_manual_p002,憲法,權,U,292,292,72460,2555,375816,375816,72460,2555,0.24548676155226273,0.24548676155226273,,,5.808219178082192,,65,11455
long_period_manual,long_period_manual_p002,人,制憲,U,291,291,21092,16600,375816,375816,21092,16600,-0.6787615957553189,0,,,6.144329896907217,,66,12898
long_period_manual,long_period_manual_p002,憲法,提出,U,291,291,72460,5393,375816,375816,72460,5393,-0.837227197105047,0,,,6.329896907216495,,67,13021
long_period_manual,long_period_manual_p002,國民,憲法,U,289,289,3797,72460,375816,375816,3797,72460,-0.34094882262118104,0,,,5.674740484429066,,68,12500
long_period_manual,long_period_manual_p002,憲法,根本,U,283,283,72460,1997,375816,375816,72460,1997,0.5558094038851391,0.5558094038851391,,,4.911660777385159,,69,10721
long_period_manual,long_period_manual_p002,問題,討論,U,282,282,14987,7594,375816,375816,14987,7594,0.89715003017447,0.89715003017447,,,4.677304964539007,,70,9854
long_period_manual,long_period_manual_p002,制憲,憲法,U,281,281,16600,72460,375816,375816,16600,72460,-2.509699522403494,0,,,6.430604982206406,,71,13477
long_period_manual,long_period_manual_p002,憲法,解散,U,281,281,72460,2935,375816,375816,72460,2935,-0.009948689279259152,0,,,5.366548042704626,,72,11970
long_period_manual,long_period_manual_p002,主張,制憲,U,280,280,11433,16600,375816,375816,11433,16600,0.14913796612787167,0.14913796612787167,,,4.957142857142857,,73,11662
long_period_manual,long_period_manual_p002,出席,議員,U,279,279,3368,20430,375816,375816,3368,20430,1.607710268980081,1.607710268980081,,,4.017921146953405,,74,7899
long_period_manual,long_period_manual_p002,國會,恢復,U,277,277,32677,1499,375816,375816,32677,1499,2.0876365433306523,2.0876365433306523,,,3.7617328519855597,,75,6629
long_period_manual,long_period_manual_p002,憲法,美國,U,271,271,72460,900,375816,375816,72460,900,1.6431376286340638,1.6431376286340638,,,4.03690036900369,,76,7796
long_period_manual,long_period_manual_p002,制憲,國民,U,268,268,16600,3797,375816,375816,16600,3797,1.6762162495549129,1.6762162495549129,,,3.8134328358208953,,77,7698
long_period_manual,long_period_manual_p002,憲法,憲法會議,U,260,260,72460,10027,375816,375816,72460,10027,-1.8944648154571375,0,,,5.969230769230769,,78,13432
long_period_manual,long_period_manual_p002,問題,總統,U,257,257,14987,9775,375816,375816,14987,9775,0.3989865235065666,0.3989865235065666,,,3.9571984435797667,,79,11109
