token_profile,network_window,period_set_id,period_id,unit_type,pair_class,topn,weight_col,min_token_strength,min_neighbor_count,focus_a_norm,focus_a_label,focus_b_norm,focus_b_label,direct_strength,p_b_given_a,p_a_given_b,weighted_jaccard,jaccard,cosine,shared_neighbor_count,shared_neighbors,a_strength,b_strength,a_neighbor_count,b_neighbor_count,a_used_neighbor_count,b_used_neighbor_count,support_status,support_notes
full,10,global_all,global_all_p000,core,intra,20,joint_count,30,10,lixian,立憲,xianzheng,憲政,0.00578984889381,0.00680061823802,0.00492930922453,0.205648434443,0.290322580645,0.404612522894,9,實行; 政府; 國; 籌備; 人民; 國家; 政治; 中國; 人,32350,44631,417,616,20,20,ok,
full,10,global_all,global_all_p000,core,cross,20,joint_count,30,10,lixian,立憲,xianfa,憲法,0.0037057056833,0.00880989180835,0.00155873135675,0.141009859578,0.212121212121,0.324384324945,7,國會; 國; 政府; 人; 人民; 國家; 不能,32350,182841,417,1674,20,20,ok,
full,10,global_all,global_all_p000,core,cross,20,joint_count,30,10,lixian,立憲,zhixian,制憲,0,0,0,0.0845084020341,0.111111111111,0.193206687119,4,國民; 國會; 人; 政府,32350,20902,417,305,20,20,ok,
full,10,global_all,global_all_p000,core,cross,20,joint_count,30,10,xianzheng,憲政,xianfa,憲法,0.00525821702291,0.0106428267348,0.00259788559459,0.1515841175,0.176470588235,0.252358808294,6,國; 政府; 省; 人民; 國家; 人,44631,182841,616,1674,20,20,ok,
full,10,global_all,global_all_p000,core,cross,20,joint_count,30,10,xianzheng,憲政,zhixian,制憲,0.00160429359441,0.00109789160001,0.00234427327528,0.0875940626304,0.142857142857,0.143426337207,5,省; 政府; 進行; 兩; 人,44631,20902,616,305,20,20,ok,
full,10,global_all,global_all_p000,core,intra,20,joint_count,30,10,xianfa,憲法,zhixian,制憲,0.00820119699117,0.00277290104517,0.0242560520524,0.207989924113,0.290322580645,0.559871236857,9,國會; 問題; 政府; 省; 人; 新; 議員; 選舉; 主張,182841,20902,1674,305,20,20,ok,
full,10,global_all,global_all_p000,core,intra,50,joint_count,30,10,lixian,立憲,xianzheng,憲政,0.00578984889381,0.00680061823802,0.00492930922453,0.269331946039,0.351351351351,0.475618546858,26,實行; 政府; 國; 籌備; 人民; 國家; 政治; 中國; 省; 人; 兩; 基礎; 國會; 民主; 不能; 國民; 地方自治; 內閣; 組織; 開,32350,44631,417,616,50,50,ok,
full,10,global_all,global_all_p000,core,cross,50,joint_count,30,10,lixian,立憲,xianfa,憲法,0.0037057056833,0.00880989180835,0.00155873135675,0.161777749215,0.219512195122,0.387154671258,18,國會; 國; 政府; 人; 人民; 國家; 省; 不能; 組織; 兩; 新; 國民; 中國; 機關; 實行; 政治; 制度; 開,32350,182841,417,1674,50,50,ok,
full,10,global_all,global_all_p000,core,cross,50,joint_count,30,10,lixian,立憲,zhixian,制憲,0,0,0,0.134004328222,0.176470588235,0.277528578612,15,國民; 國會; 人; 政府; 不能; 國; 省; 開; 人民; 兩; 自治; 組織; 北京; 機關; 新,32350,20902,417,305,50,50,ok,
full,10,global_all,global_all_p000,core,cross,50,joint_count,30,10,xianzheng,憲政,xianfa,憲法,0.00525821702291,0.0106428267348,0.00259788559459,0.229893377381,0.282051282051,0.428967812325,22,國; 政府; 省; 人民; 國家; 人; 問題; 國會; 不能; 組織; 成立; 國民大會; 兩; 新; 國民; 中國; 機關; 主張; 實行; 政治,44631,182841,616,1674,50,50,ok,
full,10,global_all,global_all_p000,core,cross,50,joint_count,30,10,xianzheng,憲政,zhixian,制憲,0.00160429359441,0.00109789160001,0.00234427327528,0.183106022688,0.26582278481,0.342291805385,21,省; 政府; 進行; 國; 兩; 人; 人民; 完成; 問題; 國會; 組織; 成立; 不能; 國民; 國民大會; 北京; 開; 新; 自治; 機關,44631,20902,616,305,50,50,ok,
full,10,global_all,global_all_p000,core,intra,50,joint_count,30,10,xianfa,憲法,zhixian,制憲,0.00820119699117,0.00277290104517,0.0242560520524,0.312743110319,0.449275362319,0.691626019215,31,國會; 問題; 政府; 省; 人; 新; 國; 議員; 人民; 選舉; 制定; 主張; 總統; 不能; 組織; 規定; 公布; 成立; 國民大會; 討論,182841,20902,1674,305,50,50,ok,
full,10,global_all,global_all_p000,core,intra,100,joint_count,30,10,lixian,立憲,xianzheng,憲政,0.00578984889381,0.00680061823802,0.00492930922453,0.318975019515,0.408450704225,0.549984997858,58,實行; 政府; 國; 籌備; 人民; 國家; 政治; 中國; 省; 人; 兩; 基礎; 國會; 民主; 不能; 國民; 地方自治; 內閣; 組織; 開,32350,44631,417,616,100,100,ok,
full,10,global_all,global_all_p000,core,cross,100,joint_count,30,10,lixian,立憲,xianfa,憲法,0.0037057056833,0.00880989180835,0.00155873135675,0.220080345586,0.307189542484,0.447048679513,47,國會; 國; 政府; 人; 人民; 國家; 省; 不能; 組織; 兩; 新; 問題; 成立; 主張; 法律; 國民; 中國; 機關; 實行; 政治,32350,182841,417,1674,100,100,ok,
full,10,global_all,global_all_p000,core,cross,100,joint_count,30,10,lixian,立憲,zhixian,制憲,0,0,0,0.16120171584,0.204819277108,0.348045927214,34,國民; 國會; 人; 政府; 不能; 國; 省; 開; 人民; 兩; 自治; 組織; 北京; 機關; 新; 問題; 國家; 實行; 成立; 主張,32350,20902,417,305,100,100,ok,
full,10,global_all,global_all_p000,core,cross,100,joint_count,30,10,xianzheng,憲政,xianfa,憲法,0.00525821702291,0.0106428267348,0.00259788559459,0.289589103599,0.379310344828,0.508806261371,55,國; 政府; 省; 人民; 國家; 人; 問題; 國會; 不能; 組織; 成立; 國民大會; 兩; 新; 國民; 中國; 機關; 主張; 代表; 實行,44631,182841,616,1674,100,100,ok,
full,10,global_all,global_all_p000,core,cross,100,joint_count,30,10,xianzheng,憲政,zhixian,制憲,0.00160429359441,0.00109789160001,0.00234427327528,0.216648946205,0.290322580645,0.403831983458,45,省; 政府; 進行; 國; 兩; 人; 人民; 完成; 問題; 國會; 組織; 成立; 不能; 國民; 國民大會; 北京; 開; 新; 自治; 國家,44631,20902,616,305,100,100,ok,
full,10,global_all,global_all_p000,core,intra,100,joint_count,30,10,xianfa,憲法,zhixian,制憲,0.00820119699117,0.00277290104517,0.0242560520524,0.345477508895,0.481481481481,0.724119009442,65,國會; 問題; 政府; 省; 人; 新; 國; 議員; 人民; 選舉; 制定; 主張; 總統; 不能; 組織; 規定; 公布; 成立; 國民大會; 討論,182841,20902,1674,305,100,100,ok,
