series,model,penalty,min_size,jump,change_point_number,change_point_index,change_point_date,previous_segment_end_index,previous_segment_end_date,next_segment_start_index,next_segment_start_date
xianfa,l2,5,15,1,1,435,1905-07-10,434,1905-07-09,435,1905-07-10
xianfa,l2,5,15,1,2,869,1906-09-17,868,1906-09-16,869,1906-09-17
xianfa,l2,5,15,1,3,899,1906-10-17,898,1906-10-16,899,1906-10-17
xianfa,l2,5,15,1,4,1538,1908-07-17,1537,1908-07-16,1538,1908-07-17
xianfa,l2,5,15,1,5,1575,1908-08-23,1574,1908-08-22,1575,1908-08-23
xianfa,l2,5,15,1,6,1590,1908-09-07,1589,1908-09-06,1590,1908-09-07
xianfa,l2,5,15,1,7,1984,1909-10-06,1983,1909-10-05,1984,1909-10-06
xianfa,l2,5,15,1,8,2378,1910-11-04,2377,1910-11-03,2378,1910-11-04
xianfa,l2,5,15,1,9,2404,1910-11-30,2403,1910-11-29,2404,1910-11-30
xianfa,l2,5,15,1,10,2435,1910-12-31,2434,1910-12-30,2435,1910-12-31
xianfa,l2,5,15,1,11,2622,1911-07-06,2621,1911-07-05,2622,1911-07-06
xianfa,l2,5,15,1,12,2648,1911-08-01,2647,1911-07-31,2648,1911-08-01
xianfa,l2,5,15,1,13,2736,1911-10-28,2735,1911-10-27,2736,1911-10-28
xianfa,l2,5,15,1,14,2751,1911-11-12,2750,1911-11-11,2751,1911-11-12
xianfa,l2,5,15,1,15,2870,1912-03-10,2869,1912-03-09,2870,1912-03-10
xianfa,l2,5,15,1,16,2886,1912-03-26,2885,1912-03-25,2886,1912-03-26
xianfa,l2,5,15,1,17,3176,1913-01-10,3175,1913-01-09,3176,1913-01-10
xianfa,l2,5,15,1,18,3199,1913-02-02,3198,1913-02-01,3199,1913-02-02
xianfa,l2,5,15,1,19,3220,1913-02-23,3219,1913-02-22,3220,1913-02-23
xianfa,l2,5,15,1,20,3235,1913-03-10,3234,1913-03-09,3235,1913-03-10
xianfa,l2,5,15,1,21,3258,1913-04-02,3257,1913-04-01,3258,1913-04-02
xianfa,l2,5,15,1,22,3276,1913-04-20,3275,1913-04-19,3276,1913-04-20
xianfa,l2,5,15,1,23,3296,1913-05-10,3295,1913-05-09,3296,1913-05-10
xianfa,l2,5,15,1,24,3342,1913-06-25,3341,1913-06-24,3342,1913-06-25
xianfa,l2,5,15,1,25,3357,1913-07-10,3356,1913-07-09,3357,1913-07-10
xianfa,l2,5,15,1,26,3392,1913-08-14,3391,1913-08-13,3392,1913-08-14
xianfa,l2,5,15,1,27,3440,1913-10-01,3439,1913-09-30,3440,1913-10-01
xianfa,l2,5,15,1,28,3501,1913-12-01,3500,1913-11-30,3501,1913-12-01
xianfa,l2,5,15,1,29,3516,1913-12-16,3515,1913-12-15,3516,1913-12-16
xianfa,l2,5,15,1,30,3552,1914-01-21,3551,1914-01-20,3552,1914-01-21
xianfa,l2,5,15,1,31,3604,1914-03-14,3603,1914-03-13,3604,1914-03-14
xianfa,l2,5,15,1,32,3619,1914-03-29,3618,1914-03-28,3619,1914-03-29
xianfa,l2,5,15,1,33,3664,1914-05-13,3663,1914-05-12,3664,1914-05-13
xianfa,l2,5,15,1,34,4081,1915-07-04,4080,1915-07-03,4081,1915-07-04
