series,model,penalty,min_size,jump,segment_number,start_index,end_index,start_date,end_date,days,mean,median,std,min,max,sum
xianfa,l2,5,15,1,1,0,434,1904-05-01,1905-07-09,435,0.048276,0.000000,0.224818,0.000000,2.000000,21.000000
xianfa,l2,5,15,1,2,435,868,1905-07-10,1906-09-16,434,0.230415,0.000000,0.501055,0.000000,3.000000,100.000000
xianfa,l2,5,15,1,3,869,898,1906-09-17,1906-10-16,30,1.300000,1.000000,0.862168,0.000000,4.000000,39.000000
xianfa,l2,5,15,1,4,899,1537,1906-10-17,1908-07-16,639,0.336463,0.000000,0.608573,0.000000,4.000000,215.000000
xianfa,l2,5,15,1,5,1538,1574,1908-07-17,1908-08-22,37,0.783784,1.000000,0.740166,0.000000,3.000000,29.000000
xianfa,l2,5,15,1,6,1575,1589,1908-08-23,1908-09-06,15,1.866667,2.000000,1.359739,0.000000,5.000000,28.000000
xianfa,l2,5,15,1,7,1590,1983,1908-09-07,1909-10-05,394,0.540609,0.000000,0.753756,0.000000,4.000000,213.000000
xianfa,l2,5,15,1,8,1984,2377,1909-10-06,1910-11-03,394,0.378173,0.000000,0.593219,0.000000,3.000000,149.000000
xianfa,l2,5,15,1,9,2378,2403,1910-11-04,1910-11-29,26,2.500000,3.000000,1.420996,0.000000,5.000000,65.000000
xianfa,l2,5,15,1,10,2404,2434,1910-11-30,1910-12-30,31,1.709677,2.000000,1.022128,0.000000,3.000000,53.000000
xianfa,l2,5,15,1,11,2435,2621,1910-12-31,1911-07-05,187,0.620321,0.000000,0.774054,0.000000,4.000000,116.000000
xianfa,l2,5,15,1,12,2622,2647,1911-07-06,1911-07-31,26,1.230769,1.000000,1.011765,0.000000,4.000000,32.000000
xianfa,l2,5,15,1,13,2648,2735,1911-08-01,1911-10-27,88,0.306818,0.000000,0.508070,0.000000,2.000000,27.000000
xianfa,l2,5,15,1,14,2736,2750,1911-10-28,1911-11-11,15,1.800000,1.000000,1.375984,0.000000,6.000000,27.000000
xianfa,l2,5,15,1,15,2751,2869,1911-11-12,1912-03-09,119,0.546218,0.000000,0.730464,0.000000,3.000000,65.000000
xianfa,l2,5,15,1,16,2870,2885,1912-03-10,1912-03-25,16,1.312500,1.500000,1.043956,0.000000,3.000000,21.000000
xianfa,l2,5,15,1,17,2886,3175,1912-03-26,1913-01-09,290,0.379310,0.000000,0.644006,0.000000,4.000000,110.000000
xianfa,l2,5,15,1,18,3176,3198,1913-01-10,1913-02-01,23,1.347826,1.000000,1.201763,0.000000,3.000000,31.000000
xianfa,l2,5,15,1,19,3199,3219,1913-02-02,1913-02-22,21,0.476190,0.000000,0.731538,0.000000,2.000000,10.000000
xianfa,l2,5,15,1,20,3220,3234,1913-02-23,1913-03-09,15,2.200000,2.000000,1.904381,0.000000,6.000000,33.000000
xianfa,l2,5,15,1,21,3235,3257,1913-03-10,1913-04-01,23,1.347826,1.000000,1.127085,0.000000,4.000000,31.000000
xianfa,l2,5,15,1,22,3258,3275,1913-04-02,1913-04-19,18,3.722222,4.000000,2.255993,0.000000,9.000000,67.000000
xianfa,l2,5,15,1,23,3276,3295,1913-04-20,1913-05-09,20,2.600000,2.000000,1.428286,0.000000,6.000000,52.000000
xianfa,l2,5,15,1,24,3296,3341,1913-05-10,1913-06-24,46,1.282609,1.000000,1.056307,0.000000,3.000000,59.000000
xianfa,l2,5,15,1,25,3342,3356,1913-06-25,1913-07-09,15,3.600000,4.000000,1.959592,0.000000,7.000000,54.000000
xianfa,l2,5,15,1,26,3357,3391,1913-07-10,1913-08-13,35,1.028571,1.000000,0.877845,0.000000,3.000000,36.000000
xianfa,l2,5,15,1,27,3392,3439,1913-08-14,1913-09-30,48,2.583333,2.000000,1.114924,1.000000,5.000000,124.000000
xianfa,l2,5,15,1,28,3440,3500,1913-10-01,1913-11-30,61,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
xianfa,l2,5,15,1,29,3501,3515,1913-12-01,1913-12-15,15,2.800000,3.000000,1.107550,1.000000,4.000000,42.000000
xianfa,l2,5,15,1,30,3516,3551,1913-12-16,1914-01-20,36,2.055556,2.000000,1.223484,0.000000,6.000000,74.000000
xianfa,l2,5,15,1,31,3552,3603,1914-01-21,1914-03-13,52,0.538462,0.000000,0.719549,0.000000,2.000000,28.000000
xianfa,l2,5,15,1,32,3604,3618,1914-03-14,1914-03-28,15,2.000000,2.000000,1.414214,0.000000,6.000000,30.000000
xianfa,l2,5,15,1,33,3619,3663,1914-03-29,1914-05-12,45,1.177778,1.000000,0.949594,0.000000,3.000000,53.000000
xianfa,l2,5,15,1,34,3664,4080,1914-05-13,1915-07-03,417,0.177458,0.000000,0.400444,0.000000,2.000000,74.000000
xianfa,l2,5,15,1,35,4081,4139,1915-07-04,1915-08-31,59,0.847458,1.000000,0.953380,0.000000,4.000000,50.000000
